re im logn
3.042000 -3.354464 0.00000
3.078000 -3.354464 0.00000
3.114000 -3.354464 0.30103
3.150000 -3.354464 0.00000
3.186000 -3.354464 0.00000
3.222000 -3.354464 0.00000
3.258000 -3.354464 0.00000
3.294000 -3.354464 0.00000
3.330000 -3.354464 0.00000
3.366000 -3.354464 0.00000
3.402000 -3.354464 0.00000
3.438000 -3.354464 0.00000
3.474000 -3.354464 0.00000
3.510000 -3.354464 0.00000
3.546000 -3.354464 0.00000
3.582000 -3.354464 0.00000
3.618000 -3.354464 0.00000
3.654000 -3.354464 0.00000
3.690000 -3.354464 0.00000
3.726000 -3.354464 0.00000
3.762000 -3.354464 0.00000
3.798000 -3.354464 0.00000
3.834000 -3.354464 0.00000
3.870000 -3.354464 0.00000
3.906000 -3.354464 0.00000
3.942000 -3.354464 0.00000
3.978000 -3.354464 0.00000
4.014000 -3.354464 0.00000
4.050000 -3.354464 0.00000
4.086000 -3.354464 0.00000
4.122000 -3.354464 0.00000
4.158000 -3.354464 0.00000
4.194000 -3.354464 0.00000
4.230000 -3.354464 0.00000
4.266000 -3.354464 0.00000
4.302000 -3.354464 0.00000
4.338000 -3.354464 0.00000
4.374000 -3.354464 0.00000
4.410000 -3.354464 0.00000
4.446000 -3.354464 0.00000
4.482000 -3.354464 0.00000
4.518000 -3.354464 0.00000
4.554000 -3.354464 0.00000
4.590000 -3.354464 0.00000
4.626000 -3.354464 0.00000
4.662000 -3.354464 0.00000
4.698000 -3.354464 0.00000
4.734000 -3.354464 0.00000
4.770000 -3.354464 0.00000
4.806000 -3.354464 0.00000
4.842000 -3.354464 0.00000
4.878000 -3.354464 0.00000
4.914000 -3.354464 0.00000
4.950000 -3.354464 0.00000
4.986000 -3.354464 0.00000
5.022000 -3.354464 0.00000
5.058000 -3.354464 0.00000
5.094000 -3.354464 0.00000
5.130000 -3.354464 0.00000
5.166000 -3.354464 0.00000
5.202000 -3.354464 0.00000
5.238000 -3.354464 0.00000
5.274000 -3.354464 0.00000
5.310000 -3.354464 0.00000
5.346000 -3.354464 0.00000
5.382000 -3.354464 0.00000
0.018000 -3.324107 0.00000
0.054000 -3.324107 0.00000
0.090000 -3.324107 0.00000
0.126000 -3.324107 0.00000
0.162000 -3.324107 0.00000
0.198000 -3.324107 0.00000
0.234000 -3.324107 1.76343
0.270000 -3.324107 1.61278
0.306000 -3.324107 0.00000
0.342000 -3.324107 0.00000
0.378000 -3.324107 0.00000
0.414000 -3.324107 0.00000
0.450000 -3.324107 0.00000
0.486000 -3.324107 0.00000
0.522000 -3.324107 0.00000
0.558000 -3.324107 0.00000
0.594000 -3.324107 0.00000
0.630000 -3.324107 0.00000
0.666000 -3.324107 0.00000
0.702000 -3.324107 0.00000
0.738000 -3.324107 0.00000
0.774000 -3.324107 0.00000
0.810000 -3.324107 0.00000
0.846000 -3.324107 0.00000
0.882000 -3.324107 0.00000
0.918000 -3.324107 0.00000
0.954000 -3.324107 0.00000
0.990000 -3.324107 0.00000
1.026000 -3.324107 0.00000
1.062000 -3.324107 0.00000
