re im logsig
2.7294126156 -1.6630379311 -6.226630
2.7394126156 -1.6630379311 -6.222690
2.7494126156 -1.6630379311 -6.217830
2.7594126156 -1.6630379311 -6.212030
2.7694126156 -1.6630379311 -6.205280
2.7794126156 -1.6630379311 -6.197570
2.7894126156 -1.6630379311 -6.188920
2.7994126156 -1.6630379311 -6.179330
2.8094126156 -1.6630379311 -6.168810
2.8194126156 -1.6630379311 -6.157400
2.8294126156 -1.6630379311 -6.145110
2.8394126156 -1.6630379311 -6.132000
2.8494126156 -1.6630379311 -6.118090
2.8594126156 -1.6630379311 -6.103430
2.8694126156 -1.6630379311 -6.088060
2.8794126156 -1.6630379311 -6.072050
2.8894126156 -1.6630379311 -6.055430
2.8994126156 -1.6630379311 -6.038260
2.9094126156 -1.6630379311 -6.020590
2.9194126156 -1.6630379311 -6.002460
2.9294126156 -1.6630379311 -5.983920
2.9394126156 -1.6630379311 -5.965030
2.9494126156 -1.6630379311 -5.945810
2.9594126156 -1.6630379311 -5.926310
2.9694126156 -1.6630379311 -5.906580
2.9794126156 -1.6630379311 -5.886630
2.9894126156 -1.6630379311 -5.866510
2.9994126156 -1.6630379311 -5.846250
3.0094126156 -1.6630379311 -5.825870
3.0194126156 -1.6630379311 -5.805390
3.0294126156 -1.6630379311 -5.784840
3.0394126156 -1.6630379311 -5.764240
3.0494126156 -1.6630379311 -5.743600
3.0594126156 -1.6630379311 -5.722950
2.4594126156 -1.6530379311 -6.066480
2.4694126156 -1.6530379311 -6.077280
2.4794126156 -1.6530379311 -6.087840
2.4894126156 -1.6530379311 -6.098160
2.4994126156 -1.6530379311 -6.108210
2.5094126156 -1.6530379311 -6.118000
2.5194126156 -1.6530379311 -6.127490
2.5294126156 -1.6530379311 -6.136670
2.5394126156 -1.6530379311 -6.145520
2.5494126156 -1.6530379311 -6.154030
2.5594126156 -1.6530379311 -6.162180
2.5694126156 -1.6530379311 -6.169940
2.5794126156 -1.6530379311 -6.177300
2.5894126156 -1.6530379311 -6.184230
2.5994126156 -1.6530379311 -6.190700
2.6094126156 -1.6530379311 -6.196690
2.6194126156 -1.6530379311 -6.202170
2.6294126156 -1.6530379311 -6.207110
2.6394126156 -1.6530379311 -6.211480
2.6494126156 -1.6530379311 -6.215240
2.6594126156 -1.6530379311 -6.218350
2.6694126156 -1.6530379311 -6.220790
2.6794126156 -1.6530379311 -6.222500
2.6894126156 -1.6530379311 -6.223460
2.6994126156 -1.6530379311 -6.223610
2.7094126156 -1.6530379311 -6.222930
2.7194126156 -1.6530379311 -6.221360
2.7294126156 -1.6530379311 -6.218880
2.7394126156 -1.6530379311 -6.215460
2.7494126156 -1.6530379311 -6.211070
2.7594126156 -1.6530379311 -6.205680
2.7694126156 -1.6530379311 -6.199290
2.7794126156 -1.6530379311 -6.191890
2.7894126156 -1.6530379311 -6.183470
2.7994126156 -1.6530379311 -6.174040
2.8094126156 -1.6530379311 -6.163640
2.8194126156 -1.6530379311 -6.152270
2.8294126156 -1.6530379311 -6.139970
2.8394126156 -1.6530379311 -6.126790
2.8494126156 -1.6530379311 -6.112760
2.8594126156 -1.6530379311 -6.097950
2.8694126156 -1.6530379311 -6.082390
2.8794126156 -1.6530379311 -6.066140
2.8894126156 -1.6530379311 -6.049270
2.8994126156 -1.6530379311 -6.031820
2.9094126156 -1.6530379311 -6.013850
2.9194126156 -1.6530379311 -5.995420
2.9294126156 -1.6530379311 -5.976580
2.9394126156 -1.6530379311 -5.957360
2.9494126156 -1.6530379311 -5.937830
2.9594126156 -1.6530379311 -5.918020
2.9694126156 -1.6530379311 -5.897970
2.9794126156 -1.6530379311 -5.877720
2.9894126156 -1.6530379311 -5.857310
2.9994126156 -1.6530379311 -5.836760
3.0094126156 -1.6530379311 -5.816090
3.0194126156 -1.6530379311 -5.795350
3.0294126156 -1.6530379311 -5.774540
3.0394126156 -1.6530379311 -5.753680
3.0494126156 -1.6530379311 -5.732810
3.0594126156 -1.6530379311 -5.711920
2.4594126156 -1.6430379311 -6.045740
2.4694126156 -1.6430379311 -6.056760
2.4794126156 -1.6430379311 -6.067560
2.4894126156 -1.6430379311 -6.078150
2.4994126156 -1.6430379311 -6.088500
2.5094126156 -1.6430379311 -6.098600
2.5194126156 -1.6430379311 -6.108430
2.5294126156 -1.6430379311 -6.117980
2.5394126156 -1.6430379311 -6.127240
2.5494126156 -1.6430379311 -6.136180
2.5594126156 -1.6430379311 -6.144790
2.5694126156 -1.6430379311 -6.153040
2.5794126156 -1.6430379311 -6.160910
2.5894126156 -1.6430379311 -6.168390
2.5994126156 -1.6430379311 -6.175440
2.6094126156 -1.6430379311 -6.182040
2.6194126156 -1.6430379311 -6.188150
2.6294126156 -1.6430379311 -6.193740
2.6394126156 -1.6430379311 -6.198780
2.6494126156 -1.6430379311 -6.203230
2.6594126156 -1.6430379311 -6.207040
2.6694126156 -1.6430379311 -6.210180
2.6794126156 -1.6430379311 -6.212600
2.6894126156 -1.6430379311 -6.214250
2.6994126156 -1.6430379311 -6.215080
2.7094126156 -1.6430379311 -6.215050
2.7194126156 -1.6430379311 -6.214110
2.7294126156 -1.6430379311 -6.212230
2.7394126156 -1.6430379311 -6.209350
2.7494126156 -1.6430379311 -6.205450
2.7594126156 -1.6430379311 -6.200490
2.7694126156 -1.6430379311 -6.194470
2.7794126156 -1.6430379311 -6.187360
2.7894126156 -1.6430379311 -6.179160
2.7994126156 -1.6430379311 -6.169900
2.8094126156 -1.6430379311 -6.159570
2.8194126156 -1.6430379311 -6.148220
2.8294126156 -1.6430379311 -6.135880
2.8394126156 -1.6430379311 -6.122590
2.8494126156 -1.6430379311 -6.108400
2.8594126156 -1.6430379311 -6.093370
2.8694126156 -1.6430379311 -6.077560
2.8794126156 -1.6430379311 -6.061030
2.8894126156 -1.6430379311 -6.043850
2.8994126156 -1.6430379311 -6.026070
2.9094126156 -1.6430379311 -6.007760
2.9194126156 -1.6430379311 -5.988980
2.9294126156 -1.6430379311 -5.969770
2.9394126156 -1.6430379311 -5.950200
2.9494126156 -1.6430379311 -5.930310
2.9594126156 -1.6430379311 -5.910150
2.9694126156 -1.6430379311 -5.889750
2.9794126156 -1.6430379311 -5.869170
2.9894126156 -1.6430379311 -5.848430
2.9994126156 -1.6430379311 -5.827560
3.0094126156 -1.6430379311 -5.806590
3.0194126156 -1.6430379311 -5.785560
3.0294126156 -1.6430379311 -5.764470
3.0394126156 -1.6430379311 -5.743350
3.0494126156 -1.6430379311 -5.722220
3.0594126156 -1.6430379311 -5.701090
2.4594126156 -1.6330379311 -6.025300
2.4694126156 -1.6330379311 -6.036550
2.4794126156 -1.6330379311 -6.047610
2.4894126156 -1.6330379311 -6.058480
2.4994126156 -1.6330379311 -6.069130
2.5094126156 -1.6330379311 -6.079560
2.5194126156 -1.6330379311 -6.089760
2.5294126156 -1.6330379311 -6.099700
2.5394126156 -1.6330379311 -6.109370
2.5494126156 -1.6330379311 -6.118770
2.5594126156 -1.6330379311 -6.127850
2.5694126156 -1.6330379311 -6.136620
2.5794126156 -1.6330379311 -6.145040
2.5894126156 -1.6330379311 -6.153090
2.5994126156 -1.6330379311 -6.160750
2.6094126156 -1.6330379311 -6.167980
2.6194126156 -1.6330379311 -6.174760
2.6294126156 -1.6330379311 -6.181040
2.6394126156 -1.6330379311 -6.186790
2.6494126156 -1.6330379311 -6.191970
2.6594126156 -1.6330379311 -6.196520
2.6694126156 -1.6330379311 -6.200410
2.6794126156 -1.6330379311 -6.203580
2.6894126156 -1.6330379311 -6.205970
2.6994126156 -1.6330379311 -6.207540
2.7094126156 -1.6330379311 -6.208210
2.7194126156 -1.6330379311 -6.207950
2.7294126156 -1.6330379311 -6.206690
2.7394126156 -1.6330379311 -6.204400
2.7494126156 -1.6330379311 -6.201010
2.7594126156 -1.6330379311 -6.196510
2.7694126156 -1.6330379311 -6.190860
2.7794126156 -1.6330379311 -6.184050
2.7894126156 -1.6330379311 -6.176080
2.7994126156 -1.6330379311 -6.166950
2.8094126156 -1.6330379311 -6.156690
2.8194126156 -1.6330379311 -6.145310
2.8294126156 -1.6330379311 -6.132880
2.8394126156 -1.6330379311 -6.119430
2.8494126156 -1.6330379311 -6.105030
2.8594126156 -1.6330379311 -6.089730
2.8694126156 -1.6330379311 -6.073620
2.8794126156 -1.6330379311 -6.056740
2.8894126156 -1.6330379311 -6.039190
2.8994126156 -1.6330379311 -6.021020
2.9094126156 -1.6330379311 -6.002310
2.9194126156 -1.6330379311 -5.983120
2.9294126156 -1.6330379311 -5.963500
2.9394126156 -1.6330379311 -5.943520
2.9494126156 -1.6330379311 -5.923230
2.9594126156 -1.6330379311 -5.902680
2.9694126156 -1.6330379311 -5.881900
2.9794126156 -1.6330379311 -5.860950
2.9894126156 -1.6330379311 -5.839850
2.9994126156 -1.6330379311 -5.818650
3.0094126156 -1.6330379311 -5.797350
3.0194126156 -1.6330379311 -5.776000
3.0294126156 -1.6330379311 -5.754620
3.0394126156 -1.6330379311 -5.733220
3.0494126156 -1.6330379311 -5.711820
3.0594126156 -1.6330379311 -5.690430
2.4594126156 -1.6230379311 -6.005130
