re im
2.47941262 -1.42051396
2.48838828 -1.41303793
2.48941262 -1.41219268
2.49941262 -1.40375734
2.50024538 -1.40303793
2.50941262 -1.39522601
2.51192318 -1.39303793
2.51941262 -1.38661944
2.52350075 -1.38303793
2.52941262 -1.37796273
2.53503908 -1.37303793
2.53941262 -1.36930058
2.54661828 -1.36303793
2.54941262 -1.36067397
2.55831738 -1.35303793
2.55941262 -1.35212665
2.56941262 -1.34372811
2.57022624 -1.34303793
2.57941262 -1.33551701
2.58243764 -1.33303793
2.58941262 -1.32752963
2.59513467 -1.32303793
2.59941262 -1.31980136
2.60848466 -1.31303793
2.60941262 -1.31237077
2.61941262 -1.30529293
2.62268751 -1.30303793
2.62941262 -1.29856690
2.63809372 -1.29303793
2.63941262 -1.29222349
2.64941262 -1.28627547
2.65520197 -1.28303793
2.65941262 -1.28073904
2.66941262 -1.27562019
2.67488153 -1.27303793
2.67941262 -1.27092880
2.68941262 -1.26665818
2.69894574 -1.26303793
2.69941262 -1.26286084
2.70941262 -1.25943975
2.71941262 -1.25648934
2.72941262 -1.25401284
2.73422284 -1.25303793
2.73941262 -1.25195963
2.74941262 -1.25034067
2.75941262 -1.24919266
2.76941262 -1.24852166
2.77941262 -1.24833330
2.78941262 -1.24863683
2.79941262 -1.24944773
2.80941262 -1.25078857
2.81941262 -1.25268709
2.82085167 -1.25303793
2.82941262 -1.25507798
2.83941262 -1.25806381
2.84941262 -1.26170861
2.85254675 -1.26303793
2.85941262 -1.26594478
2.86941262 -1.27088288
2.87326559 -1.27303793
2.87941262 -1.27652647
2.88941262 -1.28297564
2.88950140 -1.28303793
2.89941262 -1.29020535
2.90298044 -1.29303793
2.90941262 -1.29835951
2.91465486 -1.30303793
2.91941262 -1.30750745
2.92496201 -1.31303793
2.92941262 -1.31774613
2.93419503 -1.32303793
2.93941262 -1.32921069
2.94254853 -1.33303793
2.94941262 -1.34204209
2.95015735 -1.34303793
2.95717422 -1.35303793
2.95941262 -1.35648472
2.96365421 -1.36303793
