re im
1.72500000 -0.24214349
1.73500000 -0.24344482
1.74147611 -0.24500000
1.74500000 -0.24581283
1.75500000 -0.24925731
1.76500000 -0.25412577
1.76646539 -0.25500000
1.77500000 -0.26042915
1.78082522 -0.26500000
1.78500000 -0.26869147
1.79121286 -0.27500000
1.79500000 -0.27959332
1.79913709 -0.28500000
1.80500000 -0.29469237
1.80518196 -0.29500000
1.80997716 -0.30500000
1.81341672 -0.31500000
1.81500000 -0.32180194
1.81579739 -0.32500000
1.81726965 -0.33500000
1.81776228 -0.34500000
1.81731081 -0.35500000
1.81590704 -0.36500000
1.81500000 -0.36891855
1.81360581 -0.37500000
1.81030852 -0.38500000
1.80582142 -0.39500000
1.80500000 -0.39653944
1.80012174 -0.40500000
1.79500000 -0.41229238
1.79284621 -0.41500000
1.78500000 -0.42367784
1.78357453 -0.42500000
1.77500000 -0.43241852
1.77124018 -0.43500000
1.76500000 -0.43920077
1.75500000 -0.44428486
1.75308507 -0.44500000
1.74500000 -0.44816112
1.73500000 -0.45073901
1.72500000 -0.45210565
1.71500000 -0.45235493
1.70500000 -0.45149581
1.69500000 -0.44946392
1.68500000 -0.44610884
nan nan
1.54427054 -0.62500000
1.54500000 -0.62414834
1.55289625 -0.61500000
1.55500000 -0.61207220
1.56012125 -0.60500000
1.56500000 -0.59646693
1.56584152 -0.59500000
1.57023779 -0.58500000
1.57324823 -0.57500000
1.57500000 -0.56530168
1.57505411 -0.56500000
1.57585525 -0.55500000
1.57575357 -0.54500000
1.57500000 -0.53611579
1.57491375 -0.53500000
1.57353385 -0.52500000
1.57171802 -0.51500000
1.56957750 -0.50500000
1.56723271 -0.49500000
1.56500000 -0.48593438
1.56478489 -0.48500000
1.56232647 -0.47500000
1.55990476 -0.46500000
1.55758914 -0.45500000
1.55543377 -0.44500000
1.55500000 -0.44287143
1.55344862 -0.43500000
1.55168789 -0.42500000
1.55018849 -0.41500000
1.54897278 -0.40500000
1.54806995 -0.39500000
1.54749192 -0.38500000
1.54726282 -0.37500000
1.54739985 -0.36500000
1.54791676 -0.35500000
1.54884511 -0.34500000
1.55021124 -0.33500000
1.55205248 -0.32500000
1.55441342 -0.31500000
1.55500000 -0.31296750
1.55721859 -0.30500000
1.56060500 -0.29500000
1.56467318 -0.28500000
1.56500000 -0.28429794
1.56930290 -0.27500000
1.57477444 -0.26500000
1.57500000 -0.26463052
1.58099451 -0.25500000
1.58500000 -0.24937066
1.58822770 -0.24500000
1.59500000 -0.23682596
1.59660432 -0.23500000
1.60500000 -0.22631158
1.60637488 -0.22500000
1.61500000 -0.21736266
1.61796717 -0.21500000
1.62500000 -0.20969288
1.63209091 -0.20500000
1.63500000 -0.20314052
1.64500000 -0.19752560
1.65030376 -0.19500000
1.65500000 -0.19277881
1.66500000 -0.18879646
1.67500000 -0.18560767
1.67740779 -0.18500000
1.68500000 -0.18302700
1.69500000 -0.18110582
1.70500000 -0.17983317
1.71500000 -0.17918636
1.72500000 -0.17914653
1.73500000 -0.17971513
1.74500000 -0.18089886
1.75500000 -0.18272459
1.76413931 -0.18500000
1.76500000 -0.18520961
1.77500000 -0.18827521
1.78500000 -0.19210345
1.79134217 -0.19500000
1.79500000 -0.19669420
1.80500000 -0.20208063
1.80973462 -0.20500000
1.81500000 -0.20838164
1.82407223 -0.21500000
1.82500000 -0.21571790
1.83500000 -0.22421924
1.83585010 -0.22500000
1.84500000 -0.23413115
1.84581735 -0.23500000
1.85437461 -0.24500000
1.85500000 -0.24581520
1.86181684 -0.25500000
1.86500000 -0.25989586
1.86826752 -0.26500000
1.87384876 -0.27500000
1.87500000 -0.27737112
1.87873909 -0.28500000
1.88290909 -0.29500000
1.88500000 -0.30094558
1.88646798 -0.30500000
1.88949576 -0.31500000
