re im logsig
1.7050000000 -0.5750000000 -3.294430
1.7150000000 -0.5750000000 -3.294230
1.7250000000 -0.5750000000 -3.293120
1.7350000000 -0.5750000000 -3.291120
1.7450000000 -0.5750000000 -3.288240
1.7550000000 -0.5750000000 -3.284550
1.7650000000 -0.5750000000 -3.280120
1.7750000000 -0.5750000000 -3.274900
1.7850000000 -0.5750000000 -3.268920
1.7950000000 -0.5750000000 -3.262230
1.8050000000 -0.5750000000 -3.254880
1.8150000000 -0.5750000000 -3.246920
1.8250000000 -0.5750000000 -3.238410
1.8350000000 -0.5750000000 -3.229380
1.8450000000 -0.5750000000 -3.219900
1.8550000000 -0.5750000000 -3.210010
1.8650000000 -0.5750000000 -3.199760
1.8750000000 -0.5750000000 -3.189200
1.8850000000 -0.5750000000 -3.178360
1.8950000000 -0.5750000000 -3.167280
1.9050000000 -0.5750000000 -3.156010
1.9150000000 -0.5750000000 -3.144570
1.9250000000 -0.5750000000 -3.133000
1.9350000000 -0.5750000000 -3.121330
1.9450000000 -0.5750000000 -3.109580
1.9550000000 -0.5750000000 -3.097770
1.9650000000 -0.5750000000 -3.085930
1.9750000000 -0.5750000000 -3.074070
1.9850000000 -0.5750000000 -3.062210
1.9950000000 -0.5750000000 -3.050370
2.0050000000 -0.5750000000 -3.038560
2.0150000000 -0.5750000000 -3.026790
2.0250000000 -0.5750000000 -3.015070
1.4250000000 -0.5650000000 -3.035980
1.4350000000 -0.5650000000 -3.049500
1.4450000000 -0.5650000000 -3.062940
1.4550000000 -0.5650000000 -3.076290
1.4650000000 -0.5650000000 -3.089520
1.4750000000 -0.5650000000 -3.102620
1.4850000000 -0.5650000000 -3.115590
1.4950000000 -0.5650000000 -3.128380
1.5050000000 -0.5650000000 -3.140990
1.5150000000 -0.5650000000 -3.153380
1.5250000000 -0.5650000000 -3.165520
1.5350000000 -0.5650000000 -3.177400
1.5450000000 -0.5650000000 -3.188980
1.5550000000 -0.5650000000 -3.200210
1.5650000000 -0.5650000000 -3.211070
1.5750000000 -0.5650000000 -3.221520
1.5850000000 -0.5650000000 -3.231500
1.5950000000 -0.5650000000 -3.240990
1.6050000000 -0.5650000000 -3.249920
1.6150000000 -0.5650000000 -3.258250
1.6250000000 -0.5650000000 -3.265930
1.6350000000 -0.5650000000 -3.272920
1.6450000000 -0.5650000000 -3.279150
1.6550000000 -0.5650000000 -3.284600
1.6650000000 -0.5650000000 -3.289210
1.6750000000 -0.5650000000 -3.292950
1.6850000000 -0.5650000000 -3.295770
1.6950000000 -0.5650000000 -3.297670
1.7050000000 -0.5650000000 -3.298610
1.7150000000 -0.5650000000 -3.298590
1.7250000000 -0.5650000000 -3.297610
1.7350000000 -0.5650000000 -3.295680
1.7450000000 -0.5650000000 -3.292810
1.7550000000 -0.5650000000 -3.289030
1.7650000000 -0.5650000000 -3.284420
1.7750000000 -0.5650000000 -3.279050
1.7850000000 -0.5650000000 -3.272880
1.7950000000 -0.5650000000 -3.265970
1.8050000000 -0.5650000000 -3.258370
1.8150000000 -0.5650000000 -3.250140
1.8250000000 -0.5650000000 -3.241330
1.8350000000 -0.5650000000 -3.232000
1.8450000000 -0.5650000000 -3.222210
1.8550000000 -0.5650000000 -3.212000
1.8650000000 -0.5650000000 -3.201430
1.8750000000 -0.5650000000 -3.190550
1.8850000000 -0.5650000000 -3.179410
1.8950000000 -0.5650000000 -3.168040
1.9050000000 -0.5650000000 -3.156480
1.9150000000 -0.5650000000 -3.144770
1.9250000000 -0.5650000000 -3.132940
1.9350000000 -0.5650000000 -3.121020
1.9450000000 -0.5650000000 -3.109040
1.9550000000 -0.5650000000 -3.097010
1.9650000000 -0.5650000000 -3.084970
1.9750000000 -0.5650000000 -3.072920
1.9850000000 -0.5650000000 -3.060890
1.9950000000 -0.5650000000 -3.048890
